Symbol	Description
BXU	Merrill Lynch & Co. Inc.
BZC	Breeze-Eastern Corporation
BZF	WISDOMTREE DREYFUS
BZI	XELR8 Holdings Inc.
BZI.A	XELR8 Holdings Inc.
BZI.B	XELR8 Holdings Inc.
BZM	BlackRock Maryland Municipal Bond Trust
BZZ	Citigroup Inc.
CAK	MERRILL LYNCH
CAV	Cavalier Homes Inc.
CAW	CCA Industries Inc.
CBJ	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
CCA	MFS California Insured Municipal Trust
CCF	Chase Corporation
CDY	Cardero Resource Corporation
CEF	Central Fund of Canada
CEP	Constellation Energy Prtnr L
CET	Central Securities Corporation
CEV	Eaton Vance California Municipal Income Trust
CFK	CE Franklin Ltd.
CFP	Cornerstone Progressive Return Fund
CFS	COMFORCE Corp.
CFT	ISHARES LEHMAN CREDI
CFW	Cano Petroleum Inc.
CGL.A	Cagle's Inc.
CGR	Claude Resources Inc.
CGW	Claymore Exchange-Traded Fund Trust 2
CH	Chile Fund Inc. (The)
CHM	China Healthcare Acquisition Corp
CHM.U	China Healthcare Acquisition Corp
CHM.W	China Healthcare Acquisition Corp
CHQ	Challenger Energy Corp
CIK	Credit Suisse Asset Management Income Fund Inc.
CIO	Asia Special Situation Acquisition Corp
CIO.U	Asia Special Situation Acquisition Corp
CIO.W	Asia Special Situation Acquisition Corp
CIU	ISHARES LEHMAN INTER
CKK	Citigroup Inc.
CKX	CKX Lands Inc.
CLA	Capitol Acquisition Corp
CLA.U	Capitol Acquisition Corp
CLA.W	Capitol Acquisition Corp
CLM	Cornerstone Strategic Value Fund Inc.
CMD	Criticare Systems, Inc.
CMF	iShares Trust
CML	COMPELLENT TECH INC
CMM	CRIIMI MAE
CMT	Core Molding Technologies Inc
CNR	CanArgo Energy Corporation
CNU	Continucare Corp.
CNY	Carver Bancorp, Inc.
COR	Cortex Pharmaceuticals Inc.
COW	IPATH AIG LIVSTK ETN
CPD	Caraco Pharmaceutical Laboratories Ltd.
CQP	Cheniere Energy Partners LP
CRC	Chromcraft Revington Inc.
CRF	Cornerstone Strategic Return Fund Inc. (The)
CRJ	Merrill Lynch & Co. Inc.
CRO	Claymore Exchange-Traded Fund Trust 2
CRV	Coast Distribution System Inc. (The)
CSD	Claymore Exchange-Traded Fund Trust
CSJ	ISHARES LEHMAN 1-3 Y
CTO	Consolidated-Tomoka Land Co.
CTT	Competitive Technologies Inc.
CUL	MERRILL LYNCH
CUO	Continental Materials Corporation
CUR	Neuralstem Inc.
CUT	Claymore Exchange-Traded Fund Trust 2
CVF	Castle Convertible Fund Inc.
CVM	Cel-Sci Corporation
CVP	Centerplate Inc.
CVR	Chicago Rivet & Machine Co.
CVU	CPI Aerostructures Inc.
CVY	Claymore Exchange-Traded Fund Trust
CWI	streetTRACKS Index Funds
CXA	SPDR Series Trust
CXM	Cardium Therapeutics Inc.
CXZ	Crosshair Exploration & Mining Corp
CYB	CYBEX INTERNATIONAL, INC.
CZA	Claymore Exchange-Traded Fund Trust
DAG	DB AGRI DBL LONG ETN
DAX	NETS Trust
DBA	PowerShares DB Multi-Sector Commodity Trust
DBB	PowerShares DB Multi-Sector Commodity Trust
DBC	PowerShares DB Commodity Index Tracking Fund
DBE	PowerShares DB Multi-Sector Commodity Trust
