Symbol	Description
IDI.U	Ideation Acquisition Corp
IDI.W	Ideation Acquisition Corp
IDN	Intelli-Check Inc.
IDU	Ishares Dow Jones U.s. Utilities Index Fund
IDV	ISHARES DJ EPAC ETF
IDX	MARKET VECTORS INDONESIA INDEX
IEF	Ishares Lehman 7-10 Year Treasury Bond Fund
IEI	ISHARES LEHMAN 3-7 Y
IEO	ISHARES DJ US OG EP
IEV	Ishares S&p Europe 350 Index Fund
IEZ	ISHARES DJ US OE& SI
IF	Indonesia Fund Inc. (The)
IFK	International Finance Corp.
IG	IGI Laboratories Inc.
IGC	India Globalization Capital Inc.
IGC.U	India Globalization Capital Inc.
IGC.W	India Globalization Capital Inc.
IGE	Ishares Goldman Sachs Natural Resources Index Fund
IGF	ISHARES S& P GLOBAL I
IGM	Ishares Goldman Sachs Technology Index Fund
IGN	Ishares Goldman Sachs Network Index Fund
IGV	Ishares Goldman Sachs Software Index Fund
IGW	Ishares Goldman Sachs Semiconductor Index Fund
IHE	ISHARES DJ US PHRM
IHF	ISHARES DJ US HCPIF
IHI	ISHARES DJ US MDIF
IHT	InnSuites Hospitality Trust
IIG	iMergent Inc
IIH	Merrill Lynch Internet Infrastructure HOLDRS
IIL	Morgan Stanley
IJH	Ishares S&p Midcap 400 Index Fund
IJJ	Ishares S&p Midcap 400/barra Value Index Fund
IJK	Ishares S&p Midcap 400/barra Growth Index Fund
IJR	Ishares S&p Smallcap 600 Index Fund
IJS	Ishares Small Cap 600/barra Value Index Fund
IJT	Ishares Small Cap 600/barra Growth Index Fund
ILC	iLinc Communications Inc.
ILE	Isolagen Inc
ILF	Ishares S&p Latin America 40 Index Fund
ILI	Interleukin Genetics Inc.
ILX	ILX Resorts Incorporated
IMA	Inverness Medical Innovations Inc.
IMA-B	Inverness Medical Innovations Inc.
IMM	Immtech Pharmaceuticals Inc.
IMO	Imperial Oil
IMR	IMA Exploration Inc.
IMW	Merrill Lynch & Co. Inc.
IMX	Implant Sciences Corporation
INO	Inovio Biomedical Corporation
INP	IPATH ETNS LINKED TO
INR	MARKET VECTORS RUPEE
INS	Intelligent Systems Corporation
INY	SPDR Series Trust
IOC	Interoil Corp
IOO	ISHARE SP GBL 100 IN
IOT	Income Opportunity Realty Trust
IPB	Merrill Lynch & Co. Inc.
IPD	SPDR Index Fund
IPE	SPDR Series Trust
IPF	SPDR Index Fund
IPK	SPDR Index Fund
IPN	SPDR Index Fund
IPS	SPDR Index Fund
IPT	iParty Corporation
IPU	SPDR Index Fund
IPW	SPDR Index Fund
IQE	NETS ISEQ 20 INDX FD
IRO	Claymore Exchange-Traded Fund Trust
IRV	SPDR Index Fund
IRY	SPDR Index Fund
ISI	Ishares S&p 1500 Index Fund
ISL	First Israel Fund Inc. (The)
ISO	ISCO INTERNATIONAL INC
ISR	IsoRay Inc.
IST	SPDR Index Fund
ISV	InSite Vision Incorporated
ITA	ISHARES DJ US A& DIF
ITB	ISHARES DJ US HCIF
ITE	SPDR Series Trust
ITF	Ishares S&p/topix 150 Index Fund
ITI	Iteris Inc.
ITM	Market Vectors ETF Trust
IVA	ValueRich Inc.
IVD	IVAX Diagnostics Inc.
IVE	Ishares S&p 500/barra Value Index Fund
IVV	Ishares S&p 500 Index Fund
IVW	Ishares S&p 500/barra Growth Index Fund
IWB	Ishares Russell 1000 Index Fund
IWC	ISHARES RUSSELL MICR
IWD	Ishares Russell 1000 Value Index Fund
IWF	Ishares Russell 1000 Growth Index Fund
IWK	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
IWM	Ishares Russell 2000 Index Fund
IWN	Ishares Russell 2000 Value Index Fund
IWO	Ishares Russell 2000 Growth Index Fund
IWP	Ishares Russell Midcap Growth Index Fund
IWR	Ishares Russell Midcap Index Fund
IWS	Ishares Russell Midcap Value Index Fund
IWV	Ishares Russell 3000 Index Fund
IWW	Ishares Russell 3000 Value Index Fund
IWZ	Ishares Russell 3000 Growth Index Fund
IXC	Ishares S&p Global Energy Index Fund
IXG	Ishares S&p Global Financial Index Fund
IXJ	Ishares S&p Global Healthcare Index Fund
IXN	Ishares S&p Global Technology Index Fund
IXP	Ishares S&p Global Telecommunications Index Fund
IYC	Ishares Dow Jones U.s. Consumer Index Fund
IYE	Ishares Dow Jones U.s. Oil And Gas Fund
IYF	Ishares Dow Jones U.s. Financials Index Fund
IYG	Ishares Dow Jones U.s. Financial Services Index Fund
IYH	Ishares Dow Jones U.s. Health Care Index Fund
IYJ	Ishares Dow Jones U.s. Industrials Index Fund
IYK	Ishares Dow Jones U.s. Consumer Goods Index Fund
IYM	Ishares Dow Jones U.s. Basic Materials Index
IYR	Ishares Dow Jones U.s. Real Estate Index Fund
IYT	Ishares Dow Jones Transportation Average Index Fund
IYW	Ishares Dow Jones U.s. Technology Index Fund
IYY	Ishares Dow Jones U.s. Total Market Index Fund
IYZ	Ishares Dow Jones U.s. Telecommunications Index Fund
JAG	JAGUAR MINING INC
JAV	Javelin Pharmaceuticals Inc.
JDO	JED Oil Inc
JEM	Barclays PLC
JEN	Jennifer Convertibles Inc.
JFT	J P Morgan Chase & Co
JJA	IPATH AIG AGRI ETN
JJC	IPATH AIG COPPER ETN
JJE	IPATH AIG ENERGY ETN
JJG	IPATH AIG GRAINS ETN
JJM	IPATH AIG IND MT ETN
JJN	IPATH AIG NICKEL ETN
JJP	IPATH DJ-AIG PRECIOU
JJS	IPATH DJ-AIG SOFTS
JJT	IPATH DJ-AIG TIN ETN
JJU	IPATH DJ-AIG ALUMINU
JKD	ISHARES MRNGST LRG C
JKE	ISHARES MRNG LRG GR
JKF	ISHARES MRGSR LGVLIX
JKG	ISHARES MRGST MIDCOR
JKH	ISHARES MRGST GRO IN
JKI	ISHARES MRGNG MID VA
JKJ	ISHARES MRGN SM CORE
JKK	ISHARES MRNGST SM GR
JKL	ISHARES MRNGST SM VL
JLI	Jesup & Lamont Inc
JNB	NETS Trust
JNK	SPDR Series Trust
JO	IPATH DJ-AIG COFFEE
JOB	General Employment Enterprises Inc.
JPK	Morgan Stanley
JPP	streetTracks Index Funds
JRE	NETS TOKYO REIT IDX
JRS	Nuveen Real Estate Fund
JSC	streetTRACKS Index Funds
JVA	Coffee Holding Co. Inc.
JXI	ISHARES S& P GLOBAL
JYF	WISDOMTREE DREYFUS
JYN	IPATH JPY/USD EXCHAN
KAD	Arcadia Resources Inc.
KAZ	BMB Munai Inc.
KBE	SPDR Series Trust
KBX	Kimber Resources Inc
KCE	SPDR Series Trust
KGN	Keegan Resources Inc
KGS	QUICKSILVER GAS
KHA	KBL Healthcare Acquisition Corp. III
KHA.U	KBL Healthcare Acquisition Corp. III
KHA.W	KBL Healthcare Acquisition Corp. III
KIE	SPDR Series Trust
KLD	ISHARES KLD INDX FD
KOG	Kodiak Oil
KOL	MARKET VECTORS COAL
KOW	KOWABUNGA! INC
KRE	SPDR Series Trust
KRU	Crusader Energy Group Inc.
KRY	Crystallex International Corporation
KUN	China Shenghuo Pharmaceutical Holdings Inc
KWT	Market Vectors ETF Trust
KXI	ISHARES S& P GLOBAL
LAG	SPDR Series Trust
LAQ	Latin America Equity Fund Inc. (The)
LB	LaBarge Inc.
LCI	Lannett Co Inc
LD	IPATH DJ-AIG LEAD
LDB	Merrill Lynch & Co. Inc.
LDN	NETS Trust
LEI	Lucas Energy Inc.
LGL	LGL Group Inc.
LGN	Lodgian Inc.
LIA	Liberty Acquisition Holdings Corp
LIA.U	Liberty Acquisition Holdings Corp
LIA.W	Liberty Acquisition Holdings Corp
LIS	NETS PSI 20 INDEX FD
LKI	Lazare Kaplan International Inc.
LNG	Cheniere Energy Inc.
LOV	Spark Networks Plc
LQD	Tm Corporate Bond Fund
LRN	K12 INC
LSC	ELEMENTS S& P ETN
LSO	Credit Suisse Group
LSR	Laser Technology Inc.
LTL	ProShares Trust
LTS	Ladenburg Thalmann Financial Services Inc
LVL	Claymore Exchange-Traded Fund Trust
LZR	EMERGENT GROUP INC
MAB	Eaton Vance Insured Massachusetts Municipal Bond Fund
MAM	Maine & Maritimes Corporation
MAO	Merrill Lynch & Co. Inc.
MBA	CIBT Education Group Inc.
MBB	iShares Trust
MBG	SPDR BARCLAY CAP BD
MBH	MBF Healthcare Acquisition Corp.
MBH.U	MBF Healthcare Acquisition Corp.
MBH.W	MBF Healthcare Acquisition Corp.
MBJ	Morgan Stanley
MBR	Mercantile Bancorp Inc. (Quincey IL)
MBS	MORGAN STANLEY
MCF	Contango Oil & Gas Company
MCP	Merrill Lynch & Co. Inc.
MCZ	Mad Catz Interactive Inc
MDD	SPDR Index Fund
MDF	Metropolitan Health Networks Inc.
MDM	Mountain Province Diamonds Inc.
MDW	Midway Gold Corporation
MDY	MidCap SPDR Trust Series I
MEA	Metalico Inc
MEJ	Santa Monica Media Corporation
MEJ.U	Santa Monica Media Corporation
MEJ.W	Santa Monica Media Corporation
MES	MARKET VECTORS
MFN	MineFinders Corp. Ltd.
MFY	Merrill Lynch & Co. Inc.
MGC	VANGUARD MEGACAP 300
MGH	Minco Gold Corporation
MGK	VANGUARD MEGACP GR
MGN	Mines Management Inc.
MGT	MGT Capital Investments Inc
MGV	VANGUARD MEGACP VAL
MHE	Massachusetts Health and Education Tax-Exempt Trust
MHG	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
MHH	MASTECH HOLDINGS INC
MHJ	Man Sang Holdings Inc
MHR	Merrill Lynch & Co. Inc.
MHT	Morgan Stanley Dean Witter & Co.
MHU	Merrill Lynch & Co. Inc.
MIB	MORGAN STANLEY
MIF	Merrill Lynch & Co. Inc.
MIS	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
MIW	Eaton Vance Insure Michigan Municipal Bond Fund
MIX	Merrill Lynch & Co. Inc.
MJP	Morgan Stanley Dean Witter & Co.
MKH	Merrill Lynch Market 2000+ HOLDRS
MKI	Merrill Lynch & Co. Inc.
MKO	Merrill Lynch & Co. Inc.
MKP	Merrill Lynch & Co. Inc.
MKY	Merrill Lynch & Co. Inc.
MLB	Merrill Lynch & Co. Inc.
MLN	Market Vectors ETF Trust
MLV	Merrill Lynch & Co. Inc.
MLW	Merrill Lynch & Co. Inc.
MMG	Metalline Mining Company
MMV	Eaton Vance Massachusetts Municipal Income Trust
MNK	Merrill Lynch & Co. Inc.
MNL	Merrill Lynch & Co. Inc.
MNM	Morgan Stanley
MOC	Command Security Corporation
MOO	Market Vectors ETF Trust
MOR	MORGAN STANLEY
MRM	Merrimac Industries Inc.
MSL	MidSouth Bancorp
MSN	Emerson Radio Corporation
MSS	Merrill Lynch & Co. Inc.
MST	MORGAN STANLEY
MSU	Morgan Stanley Dean Witter & Co.
MTK	streetTRACKS Morgan Stanley Technology Index Fund
MUB	iShares Trust
MVE	Smart Move Inc.
MVE.W	Smart Move Inc.
MVF	MuniVest Fund Inc.
MVG	Mag Silver Corporation
MVI	Merrill Lynch & Co. Inc.
MVV	ProShares Trust
MWJ	MID CAP BULL 3X SHS
MWL	Merrill Lynch & Co. Inc.
MWN	MID CAP BEAR 3X SHS
MXA	Minnesota Municipal Income Portfolio Inc.
MXC	Mexco Energy Corporation
MXH	Merrill Lynch & Co. Inc.
MXI	ISHARES S& P GLOBAL
MXM	MAXXAM Inc.
MXN	First American Minnesota Municipal Income Fund II Inc.
MYG	NETS FTSE CNBC GLOBAL 300
MYX	Merrill Lynch & Co. Inc.
MYY	ProShares Trust
MZA	MuniYield Arizona Fund Inc.
MZG	CLAYMORE MS MNFC ETF
MZJ	Merrill Lynch & Co. Inc.
MZN	CLAYMORE MS INFO ETF
MZO	CLAYMORE MS SVCS ETF
MZZ	ProShares Trust
NAK	Northern Dynasty Minerals Ltd.
NAQ	NRDC Acquisition Corp
NAQ.U	NRDC Acquisition Corp
NAQ.W	NRDC Acquisition Corp
NAS	Citigroup Inc.
NBF	Nova Biosource Fuels Inc.
NBH	Neuberger Berman Intermediate Municipal Fund Inc.
NBJ	Nuveen Ohio Dividend Advantage Municipal Fund 2
NBO	Neuberger Berman New York Intermediate Municipal Fund Inc.
NBS	Neostem Inc.
NBS.W	Neostem Inc.
NBW	Neuberger Berman California Intermediate Municipal Fund Inc.
NBY	NovaBay Pharmaceuticals Inc.
NCU	Nuveen California Premium Income Municipal Fund
NDD	Neuberger Berman Dividend Advantage
NEA	Nuveen Insured Tax-Free Advantage Municipal Fund
NEH	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
NEN	New England Realty Associates Partnership
NEP	Nephros Inc.
NFC	Nuveen Connecticut Dividend Advantage Municipal Fund
NFM	Nuveen Maryland Dividend Advantage Municipal Fund
NFO	Claymore Exchange-Traded Fund Trust
NFZ	Nuveen Arizona Dividend Advantage Municipal Fund
NG	Novagold Resources Inc New
NGB	Nuveen Virginia Dividend Advantage Municipal Fund
NGD	NEW GOLD INC.
NGK	Nuveen Connecticut Dividend Advantage Municipal Fund 2
NGO	Nuveen Connecticut Dividend Advantage Municipal Fund 3
NGX	Nuveen Insured Massachusetts Tax-Free Advantage Municipal Fund
NHC	National HealthCare Corporation
NHC-A	National HealthCare Corporation
NHR	National Health Realty, Inc.
NHR.U	North Asia Investment Corp.
NHR.W	NORTH ASIA INV WTS
NIB	IPATH DJ-AIG COCOA
NII	Nuveen North Carolina Dividend Advantage Municipal Fund 3
NKG	Nuveen Georgia Dividend Advantage Municipal Fund 2
NKL	Nuveen Insured California Dividend Advantage Municipal Fund
NKO	Nuveen Insured New York Dividend Advantage Municipal Fund
NKR	Nuveen Arizona Dividend Advantage Municipal Fund 2
NKS	Merrill Lynch & Co. Inc.
NKW	Merrill Lynch & Co. Inc.
NKX	Nuveen Insured California Tax-Free Advantage Municipal Fund
NLP	NTS Realty Holdings Partnership
NLR	Market Vectors ETF Trust
NLX	Overture Acquisition Corp.
NLX.U	Overture Acquisition Corp.
NLX.W	Overture Acquisition Corp.
NMB	Nuveen Massachusetts Dividend Advantage Municipal Fund
NMQ	Merrill Lynch & Co. Inc.
NMZ	Nuveen Municipal High Income Opportunity Fund
NNB	Nuveen Virginia Dividend Advantage Municipal Fund 2
NNO	Nuveen North Carolina Dividend Advantage Municipal Fund 2
NOG	Northern Oil and Gas Inc.
NOM	Nuveen Missouri Premium Income Municipal Fund
NOW	American International Group Inc.
NOX	Neuberger Berman Income Opportunity Fund Inc.
NPG	Nuveen Georgia Premium Income Municipal Fund
NRB	Nuveen North Carolina Dividend Advantage Municipal Fund
NRK	Nuveen Insured New York Tax-Free Advantage Municipal Fund
NRO	Neuberger Berman Real Estate Securities Income Fund Inc.
NSU	Nevsun Resources Ltd
NTN	NTN Buzztime Inc.
NTQ	NTR Acquisition Co
NTQ.U	NTR Acquisition Co
NUJ	Nuveen New Jersey Dividend Advantage Municipal Fund 2
NVD	Novadel Pharma Inc
NVG	Nuveen Insured Dividend Advantage Municipal Fund
NVJ	Nuveen Ohio Dividend Advantage Municipal Fund 3
NVX	Nuveen California Dividend Advantage Municipal Fund 2
NVY	Nuveen Pennsylvania Dividend Advantage Municipal Fund 2
NWD	New Dragon Asia Corporation
NWF	Nuveen Insured Florida Tax-Free Advantage Municipal Fund
NWI	Nuveen Maryland Dividend Advantage Municipal Fund 3
NXE	Nuveen Arizona Dividend Advantage Municipal Fund 3
NXG	Northgate Minerals Corporation
NXI	Nuveen Ohio Dividend Advantage Municipal Fund
NXJ	Nuveen New Jersey Dividend Advantage Municipal Fund
NXK	Nuveen New York Dividend Advantage Municipal Fund 2
NXM	Nuveen Pennsylvania Dividend Advantage Municipal Fund
NXZ	Nuveen Dividend Advantage Municipal Fund 2
NY	ISHARES NYSE 100 IDX
NYC	ISHARES NYSE CMP IDX
NYF	iShares Trust
NYH	Eaton Vance Insured New York Municipal Bond Fund II
NYW	Merrill Lynch & Co. Inc.
NZ	NETEZZA CORPORATION
NZF	Nuveen Dividend Advantage Municipal Fund 3
NZH	Nuveen California Dividend Advantage Municipal Fund 3
NZR	Nuveen Maryland Dividend Advantage Municipal Fund 2
NZW	Nuveen Michigan Dividend Advantage Municipal Fund
NZX	Nuveen Georgia Dividend Advantage Municipal Fund
ODY	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
OEF	Ishares S&p 100 Index Fund
OFI	Overhill Farms Inc.
OHB	Orleans Homebuilders Inc.
OIH	Merrill Lynch Market Oil Service HOLDRS
OIL	IPATH ETN CRUDE OIL
OKN	Oceanaut Inc.
OKN.W	Oceanaut Inc.
OLE	9.25 STRIDES ORACLE
OLO	POWERSHARES DB CRUDE
ONT	On2 Technologies Inc.
OOO	SPDR O-Strip Exchange Traded Fund
OOO.U	Stream Global Services Inc
OOO.W	Stream Global Services Inc
OPK	Opko Health Inc
ORS	Orsus Xelent Technolgies Inc.
OTP	Claymore Exchange-Traded Fund Trust
OTR	Claymore Exchange-Traded Fund Trust
OZN	Orezone Res Inc
PAE	Peace Arch Entertainment Group Inc.
PAF	PS FTSE RAFI EX JP
PAL	North American Palladium Ltd.
PAL.W	North American Palladium Ltd.
PAO	PowerShares Exchange-Traded Fund Trust
PAX	Prospect Acquisition Corporation
PAX.U	Prospect Acquisition Corporation
PAX.W	Prospect Acquisition Corporation
PBA	Citigroup Inc.
PBD	PowerShares Exchange-Traded Fund Trust
PBE	PowerShares Exchange-Traded Fund Trust
PBJ	PowerShares Exchange-Traded Fund Trust
PBM	Pacific Booker Minerals Inc
PBP	POWERSHARES S& P 500
PBS	PowerShares Exchange-Traded Fund Trust
PBW	PowerShares Exchange-Traded Fund Trust
PCA	PowerShares Exchange-Traded Fund Trust
PCC	PMC Commercial Trust
PCE	Arizona Land Income Corporation
PCG-A	Pacific Gas & Electric Co.
PCG-B	Pacific Gas & Electric Co.
PCG-C	Pacific Gas & Electric Co.
PCG-D	Pacific Gas & Electric Co.
PCG-E	Pacific Gas & Electric Co.
PCG-G	Pacific Gas & Electric Co.
PCG-H	Pacific Gas & Electric Co.
PCO	Citigroup Inc.
PCY	PowerShares Exchange-Traded Fund Trust
PDC	Pioneer Drilling Co
PDL.B	Presidential Realty Corporation
PDN	PowerShares Exchange-Traded Fund Trust
PDO	Pyramid Oil Co
PDP	PS DWA TEC LDR PFL
PDQ	PowerShares Exchange-Traded Fund Trust
PDW	Citigroup Inc.
PDY	Citigroup Inc.
PED	Petroflow Energy Ltd.
PEF	PS FTSE RAFI EUROPE
PEH	PowerShares Exchange-Traded Fund Trust
PEJ	PowerShares Exchange-Traded Fund Trust
PEL	Morgan Stanley
PET-A	Pacific Enterprises
PET-B	Pacific Enterprises
PET-C	Pacific Enterprises
PEX	Apex Bioventures Acquisition Corporation
PEX.U	Apex Bioventures Acquisition Corporation
PEX.W	Apex Bioventures Acquisition Corporation
PEY	PowerShares High Yield Equity Dividend Achievers Portfolio
PEZ	PowerShares Exchange-Traded Fund Trust
PFA	PowerShares Exchange-Traded Fund Trust
PFF	iShares Trust
PFI	PowerShares Exchange-Traded Fund Trust
PFM	PowerShares Exchange-Traded Fund Trust
PFP	PowerShares Exchange-Traded Fund Trust
PFT	Citigroup Inc.
PGD	BARCLAYS PLC
PGF	PowerShares Exchange-Traded Fund Trust
PGJ	PowerShares Golden Dragon Halter USX China Portfolio
PGM	IPATH DJ-AIG PLATINU
PGV	VELOCITY PORTFOLIO
PGV.P	VELOCITY PTFL SRS A
PGX	PowerShares Exchange-Traded Fund Trust
PGZ	PowerShares Exchange-Traded Fund Trust
PHB	PowerShares Exchange-Traded Fund Trust
PHC	PHC Inc.
PHF	Pacholder High Yield Fund Inc.
PHJ	PowerShares Exchange-Traded Fund Trust
PHO	PowerShares Exchange-Traded Fund Trust
PHW	PowerShares Exchange-Traded Fund Trust
PIC	PowerShares Exchange-Traded Fund Trust
PID	PowerShares Exchange-Traded Fund Trust
PIE	POWERSHARES DWA EMER
PIN	POWERSHARES INDIA
PIO	PowerShares Exchange-Traded Fund Trust
PIP	PharmAthene Inc
PIP.W	PharmAthene Inc
PIQ	PowerShares Exchange-Traded Fund Trust
PIV	PowerShares Exchange-Traded Fund Trust
PIZ	POWERSHARES DWA DEV
PJB	PowerShares Exchange-Traded Fund Trust
PJF	PowerShares Exchange-Traded Fund Trust
PJG	PowerShares Exchange-Traded Fund Trust
PJM	PowerShares Exchange-Traded Fund Trust
PJO	PS FTSE RAFI JAPAN
PJP	PowerShares Exchange-Traded Fund Trust
PKB	PowerShares Exchange-Traded Fund Trust
PKN	POWERSHARES GLOBAL
PKT	Procera Networks Inc.
PKW	PowerShares Exchange-Traded Fund Trust
PLG	Platinum Group Metals Ltd.
PLI	Proliance International Inc.
PLK	POWERSHARES ACT LOW
PLM	Polymet Mining Corp.
PLR	Citigroup Inc.
PLW	PowerShares Exchange-Traded Fund Trust
PLX	Protalix BioTherapeutics Inc.
PMA	POWERSHARES MEGA-CAP
PMK	PMA Capital Corporation
PMR	PowerShares Exchange-Traded Fund Trust
PMU	Pacific Rim Mining Corp New
PMY	CREDIT SUISSE ELEMEN
PNJ	Citigroup Inc.
PNS	Pinnacle Data Systems Inc.
PPA	PowerShares Exchange-Traded Fund Trust
PPH	Merrill Lynch Pharmaceutical HOLDRS
PPI	Citigroup Inc.
PPJ	Citigroup Inc.
PPK	Citigroup Inc.
PPN	Citigroup Inc.
PPW.P	PacifiCorp
PPY	Morgan Stanley
PQU	Citigroup Inc.
PQY	POWERSHARES ALPHA Q
PQZ	POWERSHARES MULTICAP
PRC	Petro Resources Corporation
PRF	PS FTSE RAFI US 1000
PRK	Park National Corporation
PRN	PowerShares Exchange-Traded Fund Trust
PRW	Pro-Pharmaceuticals Inc.
PRY	POWERSHARES FTSE RAF
PSI	PowerShares Exchange-Traded Fund Trust
PSJ	PowerShares Exchange-Traded Fund Trust
PSL	PowerShares Exchange-Traded Fund Trust
PSP	PowerShares Exchange-Traded Fund Trust
PSQ	ProShares Trust
PSR	POWERSHARES US REAL
PST	ProShares Trust
PTD	E-TRACS UBS SHRT ETN
PTE	PowerShares Exchange-Traded Fund Trust
PTF	PowerShares Exchange-Traded Fund Trust
PTG	Paragon Technologies Inc.
PTH	PowerShares Exchange-Traded Fund Trust
PTJ	PowerShares Exchange-Traded Fund Trust
PTM	E-TRACS UBS BLOOMBER
PTN	Palatin Technologies Inc.
PTO	PowerShares Exchange-Traded Fund Trust
PTS	Citigroup Inc.
PUA	PowerShares Exchange-Traded Fund Trust
PUI	PowerShares Exchange-Traded Fund Trust
PUW	PowerShares Exchange-Traded Fund Trust
PVI	PowerShares Exchange-Traded Fund Trust
PVM	PowerShares Exchange-Traded Fund Trust
PW	Pittsburgh & West Virginia Railroad
PWB	PowerShares Exchange-Traded Fund Trust
PWC	Power XTF: Dynamic Market Portfolio
PWD	PowerShares Exchange-Traded Fund Trust
PWJ	PowerShares Exchange-Traded Fund Trust
PWO	Power XTF: Dynamic OTC Portfolio
PWP	PowerShares Exchange-Traded Fund Trust
PWT	PowerShares Exchange-Traded Fund Trust
PWV	PowerShares Exchange-Traded Fund Trust
PWY	PowerShares Exchange-Traded Fund Trust
PWZ	PowerShares Exchange-Traded Fund Trust
PXE	PowerShares Exchange-Traded Fund Trust
PXF	PS FTSE RAFI EX US
PXG	Phoenix Footwear Group Inc.
PXH	PowerShares Exchange-Traded Fund Trust
PXI	PowerShares Exchange-Traded Fund Trust
PXJ	PowerShares Exchange-Traded Fund Trust
PXN	PowerShares Exchange-Traded Fund Trust
PXQ	PowerShares Exchange-Traded Fund Trust
PXR	POWERSHARES EMR
PYH	PowerShares Exchange-Traded Fund Trust
PYZ	PowerShares Exchange-Traded Fund Trust
PZA	PowerShares Exchange-Traded Fund Trust
PZD	PowerShares Exchange-Traded Fund Trust
PZG	Paramount Gold and Silver Corp.
PZI	PowerShares Exchange-Traded Fund Trust
PZJ	PowerShares Exchange-Traded Fund Trust
PZT	PowerShares Exchange-Traded Fund Trust
PZZ	Prospect Medical Hldgs Inc
QBC	Cubic Energy Inc
QCC	Quest Cap Corp New
QGP	Quantum Group Inc. (The)
QGP.A	Quantum Group Inc. (The)
QGP.B	Quantum Group Inc. (The)
QID	ProShares Trust
QKP	Merrill Lynch & Co. Inc.
QLD	ProShares Trust
QMM	Quaterra Resources Inc
RAA	BlackRock California Investment Quality Municipal Trust Inc.
RAE	RAE Systems Inc
RAF	RMR Asia Real Estate Fund
RAK	Renaissance Acquisition Corp
RAK.W	Renaissance Acquisition Corp
RAP	RMR Asia Pacific Real Estate Fund
RBY	Rubicon Minerals Corp
RCD	Rydex ETF Trust
RCG	Renaissance Capital Growth & Income Fund III Inc.
RCR	RMR Dividend Capture Fund
RCW	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
RDF	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
RDI	Reading International Inc
RDI.B	Reading International Inc
RDR	RMR Preferred Dividend Fund
REA	Rydex ETF Trust
REC	Rydex ETF Trust
REM	ISHS FTS NRT MTG RTS
RER	Merrill Lynch & Co. Inc.
RET	MERRILL LYNCH
REU	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
REW	ProShares Trust
REZ	ISHS FTSE NRT RES ID
RFA	BlackRock Florida Investment Quality Municipal Trust Inc. (The
RFG	Rydex ETF Trust
RFL	Rydex ETF Trust
RFN	Rydex ETF Trust
RFR	RFR F.I.R.E. Fund
RFV	Rydex ETF Trust
RFW	RUSSELL 2000 IDX CAP
RGI	Rydex ETF Trust
RGN	Regenerx Biopharmaceuticals Inc
RHM	Rydex ETF Trust
RHO	Rydex ETF Trust
RHQ	Merrill Lynch & Co. Inc.
RHR	RMR Hospitality and Real Estate Fund
RHS	Rydex ETF Trust
RIC	Richmont Mines Inc.
RIV	Riviera Holdings Corporation
RJA	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
RJI	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
RJN	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
RJZ	AB Svensk Ekportkredit (Swedish Export Credit Corporation)
RKH	Merrill Lynch Regional Bank HOLDRS
RLL	Morgan Stanley
RLO	Merrill Lynch & Co. Inc.
RMM	Rydex ETF Trust
RMR	RMR Real Estate Fund
RMS	Rydex ETF Trust
RMX	Ready Mix Inc.
RNJ	BlackRock New Jersey Investment Quality Municipal Trust Inc.
RNN	Rexahn Pharmaceuticals Inc.
RNY	BlackRock New York Investment Quality Municipal Trust Inc. (Th
ROB	CLAYMORE/ROBB REPORT GLOBAL LU
ROI	WISDOMTREE
ROM	ProShares Trust
ROX	Castle Brands Inc.
ROY	International Realty Corporation
RPG	Rydex ETF Trust
RPI	Roberts Realty Investors Inc.
RPV	Rydex ETF Trust
RRM	Merrill Lynch & Co. Inc.
RRY	Rydex ETF Trust
RRZ	Rydex ETF Trust
RSP	Rydex ETF Trust
RSU	Rydex ETF Trust
RSW	Rydex ETF Trust
RSX	MKT VCTR RUSSIA SBI
RSY	Merrill Lynch & Co. Inc.
RTG	Rydex ETF Trust
RTH	Merrill Lynch Retail HOLDRS
RTK	Rentech Inc.
RTL	ISHS FTSE NRT RTL ID
RTM	Rydex ETF Trust
RTR	REVENUESHARES ADR FD
RTS	Merrill Lynch & Co. Inc.
RTW	Rydex ETF Trust
RUD	Citigroup Inc.
RVP	Retractable Technologies Inc.
RVR	White River Capital Inc.
RWC	RELM Wireless Corporation
RWJ	REVENUESHARES SM CP
RWK	REVENUESHARES MD CP
RWL	REVENUESHARES LG CP
RWM	ProShares Trust
RWO	SPDR Index Fund
RWR	streetTRACKS Wilshire REIT Index Fund
RWV	REVENUESHARES NAVELL
RWW	REVENUESHARES
RWX	streetTRACKS Index Funds
RXB	Morgan Stanley Dean Witter & Co.
RXD	ProShares Trust
RXI	ISHARES S& P GLOBAL C
RXL	ProShares Trust
RXY	MERRILL LYNCH
RYE	Rydex ETF Trust
RYF	Rydex ETF Trust
RYH	Rydex ETF Trust
