APD,110
AHKSY.PK,110
ASH,110
BASFY.PK,110
CE,110
DYMTF.OB,110
DD,110
EMN,110
FMST.PK,110
FMC,110
GBOE.PK,110
HABE.PK,110
JMPLY.PK,110
AIQUY.PK,110
MEOH,110
NWGN.PK,110
RHAYY.PK,110
ROH,110
SEVT.PK,110
TXPI.PK,110
DOW,110
LNAGF.PK,110
SHW,110
VSE,110
ALB,111
ARJ,111
BLGO.OB,111
CCC,111
CDTI,111
DTRX.PK,111
EPLN.OB,111
GGC,111
HUN,111
ICOC,111
IPHS,111
IFF,111
LNDC,111
LDL,111
MTX,111
MANW.OB,111
NLC,111
NL,111
NCX,111
POL,111
PX,111
PTPIY.PK,111
RSSYF.PK,111
ROC,111
SHECY.PK,111
SHI,111
SQM,111
SVYSY.PK,111
SCHI.OB,111
TORM,111
VHI,111
VTXPF.PK,111
WMANQ.OB,111
AGU,112
AVD,112
BBCZ.PK,112
CF,112
CMP,112
COIN,112
EDEN,112
HUMT.PK,112
ITRO.OB,112
KMGB,112
MON,112
PHOS.PK,112
POT,112
SPVEF.PK,112
SYT,112
TRA,112
TNH,112
MOS,112
SMG,112
ADES,113
ADMT.OB,113
ABDS.OB,113
ALTI,113
APFC,113
AVR,113
BIOF,113
BAK,113
CBT,113
CEM,113
CHRN.OB,113
CSBHY.PK,113
CYKIF.PK,113
CYAN,113
CYT,113
FOE,113
FAME.PK,113
FTK,113
GPRE,113
GU,113
FUL,113
HERC.PK,113
HXBM.OB,113
IOSP,113
ISON.OB,113
KOLR.OB,113
KRO,113
LPAD.OB,113
MACE,113
NAITF.PK,113
NEU,113
NFTIE.OB,113
OTOD.OB,113
ODC,113
OMG,113
OMN,113
PEIX,113
PENX,113
PPO,113
KWR,113
RNWF.OB,113
RVTI.OB,113
RONC,113
SLIF.PK,113
SXT,113
SDTH,113
SIAL,113
SOA,113
NZYM.OB,113
LZ,113
UNRG.OB,113
VRNM,113
VRDE.OB,113
GRA,113
WDFC,113
WLK,113
WPZ,113
BP,120
CVX,120
COP,120
E,120
XOM,120
PZE,120
PTR,120
REP,120
TOT,120
AXAS,121
APKKF.PK,121
ALTX.OB,121
AEZ,121
APPN.PK,121
APC,121
APA,121
APAGF,121
ASPN.OB,121
ATPG,121
AOG,121
AVNU.OB,121
BRN,121
BSIC.OB,121
BYCX.OB,121
BRY,121
